"V1","V2","V3","V4","V5","V6","V7","V8"
0,0,0,0,0,0,0,0
6.01167467221344e-06,6.01167467221344e-06,0,0,0,0,0,0
6.01167467221344e-06,6.01167467221344e-06,6.01167467221344e-06,0,0,0,0,0
0,0,6.01167467221344e-06,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,6.01167467221344e-06,0,0,0,0
1.80350240166403e-05,1.80350240166403e-05,6.01167467221344e-06,0,0,0,0,0
6.01167467221344e-06,6.01167467221344e-06,1.20233493444269e-05,6.01167467221344e-06,0,0,0,0
1.20233493444269e-05,1.20233493444269e-05,1.80350240166403e-05,0,0,0,0,0
0,0,0,0,0,0,0,0
3.00583733610672e-05,3.00583733610672e-05,1.80350240166403e-05,1.20233493444269e-05,0,0,0,0
0,0,1.20233493444269e-05,2.40466986888538e-05,0,0,0,0
1.80350240166403e-05,1.80350240166403e-05,1.20233493444269e-05,1.80350240166403e-05,0,0,0,0
1.80350240166403e-05,1.80350240166403e-05,2.40466986888538e-05,1.80350240166403e-05,0,0,0,0
1.80350240166403e-05,1.80350240166403e-05,1.80350240166403e-05,4.20817227054941e-05,1.20233493444269e-05,0,0,0
0.000150291866805336,0.000150291866805336,0.000150291866805336,0.000156303541477549,0.000270525360249605,0.000282548709594032,0.000282548709594032,0.000282548709594032
0.999717451290406,0.999717451290406,0.999717451290406,0.999717451290406,0.999717451290406,0.999717451290406,0.999717451290406,0.999717451290406
